Position,Track Name,Artist,Streams,URL
169,Like That (feat. Gucci Mane),Doja Cat,267116,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
170,Enemies (feat. DaBaby),Post Malone,266944,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
171,Sucker,Jonas Brothers,266711,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
172,Beautiful People (feat. Khalid),Ed Sheeran,264670,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
173,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,264337,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
174,Lights Up,Harry Styles,264328,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
175,Without Me,Halsey,263955,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
176,Lose Control,MEDUZA,263136,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
177,Old Town Road - Remix,Lil Nas X,262267,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
178,Sanguine Paradise,Lil Uzi Vert,262177,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
179,Fuck Love (feat. Trippie Redd),XXXTENTACION,261281,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
180,ocean eyes,Billie Eilish,258981,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
181,Roses - Imanbek Remix,SAINt JHN,258899,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
182,Speechless,Dan + Shay,258838,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
183,Eastside (with Halsey & Khalid),benny blanco,257380,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
184,How I Move (feat. Lil Baby),Flipp Dinero,255398,https://open.spotify.com/track/14X1WxiHXdVRJ99cMCBzOE
185,Modern Loneliness,Lauv,254092,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
186,The Less I Know The Better,Tame Impala,253666,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
187,I Hope,Gabby Barrett,253190,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
188,Panini,Lil Nas X,252620,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
189,not ur friend,Jeremy Zucker,252502,https://open.spotify.com/track/5T9S5x5hEOvgGKWysm683a
190,Happier,Marshmello,252167,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
191,Heart On Ice,Rod Wave,251649,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
192,You Need To Calm Down,Taylor Swift,251068,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
193,Forget That (feat. Rylo Rodriquez),Lil Baby,250907,https://open.spotify.com/track/7wxl36fAGU3Afv87ZblUwg
194,Talk (feat. Disclosure),Khalid,250555,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
195,Dior (with Gunna) - Remix,Pop Smoke,249394,https://open.spotify.com/track/5R9k9x85lAYbamdUoKAJvj
196,Death,Trippie Redd,249099,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y
197,FML,Arizona Zervas,247922,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf
198,Chasin' You,Morgan Wallen,247922,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
199,RITMO (Bad Boys For Life),Black Eyed Peas,247608,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
200,Rojo,J Balvin,246956,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
